TIMESTAMP,ENCODER 1 TICKS,ENCODER 2 TICKS
30566316,1646444,141919326
30567316,1646444,141919326
30568316,1646444,141919326
30569315,1646444,141919326
30570315,1646444,141919326
30571315,1646444,141919326
30572316,1646444,141919326
30573316,1646444,141919326
30574316,1646444,141919326
30575316,1646444,141919326
30576316,1646444,141919326
30577315,1646444,141919326
30578316,1646444,141919326
30579316,1646444,141919326
30580316,1646444,141919326
30581316,1646444,141919326
30582316,1646444,141919326
30583316,1646444,141919326
30584315,1646444,141919326
30585315,1646444,141919326
30586316,1646444,141919326
30587315,1646444,141919326
30588316,1646444,141919326
30589316,1646444,141919326
30590316,1646444,141919326
30591316,1646444,141919326
30592315,1646444,141919326
30593316,1646444,141919326
30594315,1646444,141919326
30595315,1646444,141919326
30596315,1646444,141919326
30597315,1646444,141919326
30598315,1646444,141919326
30599316,1646444,141919326
30600316,1646444,141919326
30601315,1646444,141919326
30602316,1646444,141919326
30603315,1646444,141919326
30604315,1646444,141919326
30605316,1646444,141919326
30606316,1646444,141919326
30607316,1646444,141919326
30608316,1646444,141919326
30609316,1646444,141919326
30610316,1646444,141919326
30611316,1646444,141919326
30612316,1647552,141919326
30613316,1647552,141919326
30614316,1647552,141919326
30615316,1647552,141919326
30616316,1647552,141919326
30617315,1647552,141919326
30618316,1647552,141919326
30619316,1647552,142032273
30620316,1647552,142032273
30621316,1647552,142032273
30622316,1647552,142032273
30623315,1647552,142032273
30624315,1647552,142032273
30625315,1647552,142032273
30626316,1647552,142032273
30627566,1647552,142032273
30628315,1647552,142032273
30629316,1647552,142032273
30630316,1647552,142032273
30631316,1647552,142032273
30632315,1647552,142032273
30633316,1647552,142032273
30634316,1647552,142032273
30635316,1647552,142032273
30636315,1647552,142032273
30637316,1647552,142032273
30638316,1647552,142032273
30639316,1647552,142032273
30640316,1647552,142032273
30641315,1647552,142032273
30642316,1647552,142032273
30643316,1647552,142032273
30644316,1647552,142032273
30645315,1647552,142032273
30646316,1647552,142032273
30647316,1647552,142032273
30648316,1647552,142032273
30649316,1647552,142032273
30650316,1647552,142032273
30651315,1647552,142032273
30652315,1647552,142032273
30653315,1647552,142032273
30654315,1647552,142032273
30655315,1647552,142032273
30656315,1647552,142032273
30657316,1647552,142032273
30658316,1647552,142032273
30659316,1647552,142032273
30660316,1647552,142032273
30661316,1647552,142032273
30662315,1647552,142032273
30663316,1647552,142032273
30664315,1647552,142032273
30665316,1647552,142032273
30666316,1647552,142032273
30667316,1647552,142032273
30668316,1647552,142032273
30669316,1647552,142032273
30670316,1647552,142032273
30671315,1647552,142032273
30672316,1647552,142032273
30673315,1647552,142032273
30674316,1647552,142032273
30675315,1647552,142032273
30676316,1647552,142032273
30677316,1648700,142032273
30678316,1648700,142032273
30679316,1648700,142032273
30680316,1648700,142032273
30681316,1648700,142032273
30682316,1648700,142032273
30683316,1648700,142032273
30684316,1648700,142146079
30685315,1648700,142146079
30686316,1648700,142146079
30687315,1648700,142146079
30688316,1648700,142146079
30689315,1648700,142146079
30690315,1648700,142146079
30691316,1648700,142146079
30692315,1648700,142146079
30693316,1648700,142146079
30694316,1648700,142146079
30695315,1648700,142146079
30696316,1648700,142146079
30697315,1648700,142146079
30698316,1648700,142146079
30699316,1648700,142146079
30700316,1648700,142146079
30701315,1648700,142146079
30702316,1648700,142146079
30703316,1648700,142146079
30704316,1648700,142146079
30705315,1648700,142146079
30706316,1648700,142146079
30707315,1648700,142146079
30708316,1648700,142146079
30709316,1648700,142146079
30710315,1648700,142146079
30711316,1648700,142146079
30712315,1648700,142146079
30713566,1648700,142146079
30714316,1648700,142146079
30715315,1648700,142146079
30716315,1648700,142146079
30717316,1648700,142146079
30718316,1648700,142146079
30719316,1648700,142146079
30720316,1648700,142146079
30721316,1648700,142146079
30722316,1648700,142146079
30723316,1648700,142146079
30724316,1648700,142146079
30725316,1648700,142146079
30726316,1648700,142146079
30727316,1648700,142146079
30728316,1648700,142146079
30729315,1648700,142146079
30730316,1648700,142146079
30731316,1648700,142146079
30732316,1648700,142146079
30733316,1648700,142146079
30734315,1648700,142146079
30735316,1648700,142146079
30736315,1648700,142146079
30737316,1648700,142146079
30738315,1648700,142146079
30739316,1648700,142146079
30740316,1648700,142146079
30741316,1649837,142146079
30742315,1649837,142146079
30743315,1649837,142146079
30744316,1649837,142146079
30745316,1649837,142146079
30746315,1649837,142146079
30747316,1649837,142146079
30748315,1649837,142146079
30749316,1649837,142146079
30750315,1649837,142259951
30751315,1649837,142259951
30752815,1649837,142259951
30754316,1649837,142259951
30755316,1649837,142259951
30756316,1649837,142259951
30757316,1649837,142259951
30758316,1649837,142259951
30759316,1649837,142259951
30760316,1649837,142259951
30761316,1649837,142259951
30762316,1649837,142259951
30763316,1649837,142259951
30764315,1649837,142259951
30765316,1649837,142259951
30766316,1649837,142259951
30767315,1649837,142259951
30768315,1649837,142259951
30769315,1649837,142259951
30770316,1649837,142259951
30771315,1649837,142259951
30772315,1649837,142259951
30773315,1649837,142259951
30774316,1649837,142259951
30775316,1649837,142259951
30776315,1649837,142259951
30777315,1649837,142259951
30778316,1649837,142259951
30779316,1649837,142259951
30780315,1649837,142259951
30781316,1649837,142259951
30782316,1649837,142259951
30783316,1649837,142259951
30784316,1649837,142259951
30785316,1649837,142259951
30786316,1649837,142259951
30787316,1649837,142259951
30788316,1649837,142259951
30789316,1649837,142259951
30790316,1649837,142259951
30791316,1649837,142259951
30792316,1649837,142259951
30793316,1649837,142259951
30794315,1649837,142259951
30795316,1649837,142259951
30796316,1649837,142259951
30797315,1649837,142259951
30798316,1649837,142259951
30799315,1649837,142259951
30800315,1649837,142259951
30801316,1649837,142259951
30802316,1649837,142259951
30803315,1649837,142259951
30804316,1649837,142259951
30805315,1649837,142259951
30806315,1650962,142259951
30807316,1650962,142259951
30808316,1650962,142259951
30809316,1650962,142259951
30810316,1650962,142259951
30811316,1650962,142259951
30812316,1650962,142259951
30813316,1650962,142374776
30814315,1650962,142374776
30815315,1650962,142374776
30816316,1650962,142374776
30817316,1650962,142374776
30818316,1650962,142374776
30819316,1650962,142374776
30820315,1650962,142374776
30821316,1650962,142374776
30822315,1650962,142374776
30823316,1650962,142374776
30824315,1650962,142374776
30825316,1650962,142374776
30826316,1650962,142374776
30827316,1650962,142374776
30828316,1650962,142374776
30830815,1650962,142374776
30832316,1650962,142374776
30833316,1650962,142374776
30834316,1650962,142374776
30835315,1650962,142374776
30836316,1650962,142374776
30837316,1650962,142374776
30838316,1650962,142374776
30839315,1650962,142374776
30840315,1650962,142374776
30841316,1650962,142374776
30842316,1650962,142374776
30843316,1650962,142374776
30844316,1650962,142374776
30845316,1650962,142374776
30846316,1650962,142374776
30847316,1650962,142374776
30848315,1650962,142374776
30849315,1650962,142374776
30850316,1650962,142374776
30851316,1650962,142374776
30852316,1650962,142374776
30853316,1650962,142374776
30854316,1650962,142374776
30855316,1650962,142374776
30856316,1650962,142374776
30857316,1650962,142374776
30858316,1650962,142374776
30859315,1650962,142374776
30860316,1650962,142374776
30861315,1650962,142374776
30862315,1650962,142374776
30863315,1650962,142374776
30864315,1650962,142374776
30865315,1650962,142374776
30866315,1650962,142374776
30867315,1650962,142374776
30868315,1650962,142374776
30869315,1650962,142374776
30870315,1652081,142374776
30871316,1652081,142374776
30872316,1652081,142374776
30873316,1652081,142374776
30874316,1652081,142374776
30875316,1652081,142374776
30876316,1652081,142374776
30877316,1652081,142487687
30878316,1652081,142487687
30879316,1652081,142487687
30880316,1652081,142487687
30881315,1652081,142487687
30882315,1652081,142487687
30883316,1652081,142487687
30884315,1652081,142487687
30885316,1652081,142487687
30886316,1652081,142487687
30887315,1652081,142487687
30888316,1652081,142487687
30889315,1652081,142487687
30890315,1652081,142487687
30891315,1652081,142487687
30892316,1652081,142487687
30893315,1652081,142487687
30894315,1652081,142487687
30895316,1652081,142487687
30896315,1652081,142487687
30897316,1652081,142487687
30898315,1652081,142487687
30899316,1652081,142487687
30900316,1652081,142487687
30901316,1652081,142487687
30902315,1652081,142487687
30903315,1652081,142487687
30904316,1652081,142487687
30905316,1652081,142487687
30906316,1652081,142487687
30907316,1652081,142487687
30908315,1652081,142487687
30909315,1652081,142487687
30910316,1652081,142487687
30911315,1652081,142487687
30912316,1652081,142487687
30913316,1652081,142487687
30914316,1652081,142487687
30915316,1652081,142487687
30916315,1652081,142487687
30917316,1652081,142487687
30918316,1652081,142487687
30919315,1652081,142487687
30920315,1652081,142487687
30921316,1652081,142487687
30922316,1652081,142487687
30923316,1652081,142487687
30924316,1652081,142487687
30925316,1652081,142487687
30926316,1652081,142487687
30927316,1652081,142487687
30928316,1652081,142487687
30929315,1652081,142487687
30930315,1652081,142487687
30931316,1652081,142487687
30932316,1652081,142487687
30933315,1652081,142487687
30934316,1653170,142487687
30935316,1653170,142487687
30936316,1653170,142487687
30937316,1653170,142487687
30938316,1653170,142487687
30939315,1653170,142487687
30940316,1653170,142487687
30941316,1653170,142599870
30942316,1653170,142599870
30943315,1653170,142599870
30944315,1653170,142599870
30945315,1653170,142599870
30946315,1653170,142599870
30947315,1653170,142599870
30948315,1653170,142599870
30949316,1653170,142599870
30950316,1653170,142599870
30951315,1653170,142599870
30952316,1653170,142599870
30953316,1653170,142599870
30954315,1653170,142599870
30955315,1653170,142599870
30956316,1653170,142599870
30957316,1653170,142599870
30958316,1653170,142599870
30960815,1653170,142599870
30962316,1653170,142599870
30963316,1653170,142599870
30964316,1653170,142599870
30965316,1653170,142599870
30966316,1653170,142599870
30967316,1653170,142599870
30968316,1653170,142599870
30969316,1653170,142599870
30970316,1653170,142599870
30971316,1653170,142599870
30972316,1653170,142599870
30973316,1653170,142599870
30974316,1653170,142599870
30975316,1653170,142599870
30976316,1653170,142599870
30977316,1653170,142599870
30978315,1653170,142599870
30979315,1653170,142599870
30980315,1653170,142599870
30981316,1653170,142599870
30982316,1653170,142599870
30983315,1653170,142599870
30984316,1653170,142599870
30985316,1653170,142599870
30986315,1653170,142599870
30987316,1653170,142599870
30988316,1653170,142599870
30989315,1653170,142599870
30990316,1653170,142599870
30991316,1653170,142599870
30992316,1653170,142599870
30993316,1653170,142599870
30994316,1653170,142599870
30995316,1653170,142599870
30996316,1653170,142599870
30997316,1653170,142599870
30998316,1653170,142599870
30999316,1653170,142599870
31000316,1654332,142599870
31001316,1654332,142599870
31002316,1654332,142599870
31003316,1654332,142599870
31004316,1654332,142599870
31005316,1654332,142599870
31006316,1654332,142599870
31007316,1654332,142716366
31008316,1654332,142716366
31009315,1654332,142716366
31010315,1654332,142716366
31011316,1654332,142716366
31012315,1654332,142716366
31013316,1654332,142716366
31014315,1654332,142716366
31015315,1654332,142716366
31016315,1654332,142716366
31017316,1654332,142716366
31018316,1654332,142716366
31019315,1654332,142716366
31020315,1654332,142716366
31021316,1654332,142716366
31022315,1654332,142716366
31023316,1654332,142716366
31024316,1654332,142716366
31025316,1654332,142716366
31026316,1654332,142716366
31027316,1654332,142716366
31028316,1654332,142716366
31029316,1654332,142716366
31030316,1654332,142716366
31031316,1654332,142716366
31032316,1654332,142716366
31033316,1654332,142716366
31034316,1654332,142716366
31035316,1654332,142716366
31036316,1654332,142716366
31037315,1654332,142716366
31038316,1654332,142716366
31039315,1654332,142716366
31040315,1654332,142716366
31041315,1654332,142716366
31042315,1654332,142716366
31043315,1654332,142716366
31044316,1654332,142716366
31045315,1654332,142716366
31046316,1654332,142716366
31047315,1654332,142716366
31048316,1654332,142716366
31049315,1654332,142716366
31050316,1654332,142716366
31051316,1654332,142716366
31052316,1654332,142716366
31053315,1654332,142716366
31054316,1654332,142716366
31055316,1654332,142716366
31056316,1654332,142716366
31057316,1654332,142716366
31058316,1654332,142716366
31059316,1654332,142716366
31060316,1654332,142716366
31061315,1654332,142716366
31062316,1654332,142716366
31063315,1654332,142716366
31064316,1655437,142716366
31065316,1655437,142716366
31066316,1655437,142716366
31067315,1655437,142716366
31068316,1655437,142716366
31069316,1655437,142716366
31070315,1655437,142716366
31071316,1655437,142829164
31072316,1655437,142829164
31073315,1655437,142829164
31074315,1655437,142829164
31075316,1655437,142829164
31076316,1655437,142829164
31077316,1655437,142829164
31078316,1655437,142829164
31079316,1655437,142829164
31080315,1655437,142829164
31081316,1655437,142829164
31082316,1655437,142829164
31083316,1655437,142829164
31084316,1655437,142829164
31085315,1655437,142829164
31086316,1655437,142829164
31087316,1655437,142829164
31088316,1655437,142829164
31089316,1655437,142829164
31090316,1655437,142829164
31091316,1655437,142829164
31092316,1655437,142829164
31093315,1655437,142829164
31094316,1655437,142829164
31095316,1655437,142829164
31096316,1655437,142829164
31097316,1655437,142829164
31098315,1655437,142829164
31099316,1655437,142829164
31100316,1655437,142829164
31101316,1655437,142829164
31102316,1655437,142829164
31103316,1655437,142829164
31104316,1655437,142829164
31105316,1655437,142829164
31106315,1655437,142829164
31107316,1655437,142829164
31108565,1655437,142829164
31109315,1655437,142829164
31110315,1655437,142829164
31111315,1655437,142829164
31112316,1655437,142829164
31113316,1655437,142829164
31114316,1655437,142829164
31115316,1655437,142829164
31116316,1655437,142829164
31117316,1655437,142829164
31118316,1655437,142829164
31119315,1655437,142829164
31120316,1655437,142829164
31121315,1655437,142829164
31122316,1655437,142829164
31123315,1655437,142829164
31124316,1655437,142829164
31125316,1655437,142829164
31126316,1655437,142829164
31127316,1655437,142829164
31128315,1655437,142829164
31129315,1656587,142829164
31130316,1656587,142829164
31131316,1656587,142829164
31132315,1656587,142829164
31133316,1656587,142829164
31134316,1656587,142829164
31135315,1656587,142829164
31136316,1656587,142943911
31137315,1656587,142943911
31138315,1656587,142943911
31139315,1656587,142943911
31140316,1656587,142943911
31141315,1656587,142943911
31142315,1656587,142943911
31143315,1656587,142943911
31144316,1656587,142943911
31145316,1656587,142943911
31146316,1656587,142943911
31147316,1656587,142943911
31148316,1656587,142943911
31149316,1656587,142943911
31150316,1656587,142943911
31151316,1656587,142943911
31152316,1656587,142943911
31153316,1656587,142943911
31154316,1656587,142943911
31155316,1656587,142943911
31156315,1656587,142943911
31157316,1656587,142943911
31158316,1656587,142943911
31159316,1656587,142943911
31160316,1656587,142943911
31161316,1656587,142943911
31162316,1656587,142943911
31163315,1656587,142943911
31164316,1656587,142943911
31165315,1656587,142943911
31166316,1656587,142943911
31167315,1656587,142943911
31168315,1656587,142943911
31169315,1656587,142943911
31170316,1656587,142943911
31171315,1656587,142943911
31172316,1656587,142943911
31173315,1656587,142943911
31174315,1656587,142943911
31175316,1656587,142943911
31176316,1656587,142943911
31177316,1656587,142943911
31178316,1656587,142943911
31179316,1656587,142943911
31180316,1656587,142943911
31181316,1656587,142943911
31182316,1656587,142943911
31183315,1656587,142943911
31184316,1656587,142943911
31185316,1656587,142943911
31186315,1656587,142943911
31187315,1656587,142943911
31188316,1656587,142943911
31189316,1656587,142943911
31190316,1656587,142943911
31191315,1656587,142943911
31192315,1657727,142943911
31193315,1657727,142943911
31194316,1657727,142943911
31195316,1657727,142943911
31196316,1657727,142943911
31197315,1657727,142943911
31198315,1657727,142943911
31199316,1657727,143055942
31200315,1657727,143055942
31201315,1657727,143055942
31202316,1657727,143055942
31203316,1657727,143055942
31204315,1657727,143055942
31205316,1657727,143055942
31206316,1657727,143055942
31207315,1657727,143055942
31208316,1657727,143055942
31209316,1657727,143055942
31210316,1657727,143055942
31211316,1657727,143055942
31212316,1657727,143055942
31213316,1657727,143055942
31214316,1657727,143055942
31215316,1657727,143055942
31216316,1657727,143055942
31217316,1657727,143055942
31218316,1657727,143055942
31219315,1657727,143055942
31220316,1657727,143055942
31221316,1657727,143055942
31222316,1657727,143055942
31223315,1657727,143055942
31224316,1657727,143055942
31225316,1657727,143055942
31226315,1657727,143055942
31227315,1657727,143055942
31228316,1657727,143055942
31229316,1657727,143055942
31230316,1657727,143055942
31231316,1657727,143055942
31232316,1657727,143055942
31233316,1657727,143055942
31234316,1657727,143055942
31235315,1657727,143055942
31236315,1657727,143055942
31237315,1657727,143055942
31238315,1657727,143055942
31239316,1657727,143055942
31240315,1657727,143055942
31241316,1657727,143055942
31242315,1657727,143055942
31243315,1657727,143055942
31244316,1657727,143055942
31245315,1657727,143055942
31246315,1657727,143055942
31247315,1657727,143055942
31248316,1657727,143055942
31249315,1657727,143055942
31250316,1657727,143055942
31251315,1657727,143055942
31252316,1657727,143055942
31253315,1657727,143055942
31254316,1657727,143055942
31255315,1657727,143055942
31256315,1658825,143055942
31257566,1658825,143055942
31258316,1658825,143055942
31259316,1658825,143055942
31260316,1658825,143055942
31261316,1658825,143055942
31262316,1658825,143055942
31263315,1658825,143168589
31264316,1658825,143168589
31265316,1658825,143168589
31266316,1658825,143168589
31267316,1658825,143168589
31268316,1658825,143168589
31269315,1658825,143168589
31270316,1658825,143168589
31271316,1658825,143168589
31272316,1658825,143168589
31273316,1658825,143168589
31274316,1658825,143168589
31275316,1658825,143168589
31276316,1658825,143168589
31277315,1658825,143168589
31278316,1658825,143168589
31279316,1658825,143168589
31280316,1658825,143168589
31281316,1658825,143168589
31282315,1658825,143168589
31283316,1658825,143168589
31284315,1658825,143168589
31285316,1658825,143168589
31286315,1658825,143168589
31287316,1658825,143168589
31288316,1658825,143168589
31289316,1658825,143168589
31290316,1658825,143168589
31291316,1658825,143168589
31292316,1658825,143168589
31293316,1658825,143168589
31294316,1658825,143168589
31295316,1658825,143168589
31296315,1658825,143168589
31297316,1658825,143168589
31298316,1658825,143168589
31299316,1658825,143168589
31300316,1658825,143168589
31301316,1658825,143168589
31302315,1658825,143168589
31303316,1658825,143168589
31304315,1658825,143168589
31305316,1658825,143168589
31306316,1658825,143168589
31307316,1658825,143168589
31308316,1658825,143168589
31309315,1658825,143168589
31310316,1658825,143168589
31311316,1658825,143168589
31312316,1658825,143168589
31313315,1658825,143168589
31314315,1658825,143168589
31315315,1658825,143168589
31316316,1658825,143168589
31317316,1658825,143168589
31318316,1658825,143168589
31319316,1658825,143168589
31320316,1659932,143168589
31321316,1659932,143168589
