TIMESTAMP,ENCODER 1 TICKS,ENCODER 2 TICKS,MOTOR VELOCITY mRPM,TORQUE ACTUAL (%%),Ref Torque [mNm]
28957183,1862557,163777466,-49474,-76,-0.84375
28958183,1862557,163777466,-49474,-76,-0.84375
28959183,1862557,163777466,-49474,-68,-0.84375
28960183,1862557,163777466,-49474,-71,-0.84375
28961183,1862557,163777466,-49474,-68,-0.84375
28962183,1862557,163777466,-49474,-62,-0.84375
28963184,1862557,163777466,-49474,-68,-0.84375
28964183,1862557,163777466,-49474,-51,-0.84375
28965183,1862557,163777466,-49474,-59,-0.84375
28966183,1862557,163777466,-49474,-59,-0.84375
28967183,1862557,163777466,-49474,-48,-0.84375
28968183,1862557,163777466,-49474,-54,-0.84375
28969183,1862557,163777466,-49474,-54,-0.84375
28970183,1862557,163777466,-49474,-51,-0.84375
28971183,1862557,163777466,-49474,-45,-0.84375
28972183,1862557,163777466,-49474,-62,-0.84375
28973183,1862557,163777466,-49474,-62,-0.84375
28973933,1862557,163777466,-49474,-62,-0.84375
28974933,1862557,163777466,-49474,-54,-0.84375
28976183,1862557,163777466,-49474,-62,-0.84375
28977183,1862557,163777466,-49474,-54,-0.84375
28978183,1862557,163777466,-49474,-62,-0.84375
28979183,1862557,163777466,-49474,-65,-0.84375
28980183,1862557,163777466,-49474,-56,-0.84375
28981183,1862557,163777466,-49474,-62,-0.84375
28982183,1862557,163777466,-49474,-59,-0.84375
28983183,1862557,163777466,-49474,-73,-0.84375
28984183,1862557,163777466,-49474,-62,-0.84375
28985184,1862557,163777466,-49474,-71,-0.84375
28986183,1862557,163777466,-49474,-62,-0.84375
28987183,1862557,163777466,-49474,-76,-0.84375
28988183,1862557,163777466,-49474,-59,-0.84375
28989183,1862557,163777466,-49474,-71,-0.84375
28990183,1862557,163777466,-49474,-82,-0.84375
28991183,1862557,163777466,-49474,-65,-0.84375
28992183,1862557,163777466,-49474,-87,-0.84375
28993183,1862557,163777466,-49474,-71,-0.84375
28994183,1862557,163777466,-49474,-71,-0.84375
28995183,1862557,163777466,-49474,-73,-0.84375
28996183,1862557,163777466,-49474,-82,-0.84375
28997183,1862557,163777466,-49474,-62,-0.84375
28998183,1862205,163777466,-49474,-71,-0.84375
28999183,1862205,163777466,-49474,-68,-0.84375
29000183,1862205,163777466,-49474,-62,-0.84375
29001183,1862205,163777466,-49474,-71,-0.84375
29002183,1862205,163777466,-49474,-68,-0.84375
29003183,1862205,163777466,-49474,-73,-0.84375
29004183,1862205,163777466,-49474,-76,-0.84375
29005182,1862205,163777466,-49474,-79,-0.84375
29006183,1862205,163741110,-49474,-68,-0.84375
29007183,1862205,163741110,-49474,-76,-0.84375
29008183,1862205,163741110,-49474,-62,-0.84375
29009183,1862205,163741110,-49474,-62,-0.84375
29010183,1862205,163741110,-49474,-68,-0.84375
29011183,1862205,163741110,-49474,-65,-0.84375
29012183,1862205,163741110,-49474,-51,-0.84375
29013183,1862205,163741110,-51298,-59,-0.84375
29014183,1862205,163741110,-51298,-62,-0.84375
29015183,1862205,163741110,-51298,-56,-0.84375
29016183,1862205,163741110,-51298,-45,-0.84375
29017183,1862205,163741110,-51298,-62,-0.84375
29018183,1862205,163741110,-51298,-54,-0.84375
29019183,1862205,163741110,-51298,-68,-0.84375
29020182,1862205,163741110,-51298,-71,-0.84375
29021183,1862205,163741110,-51298,-76,-0.84375
29022183,1862205,163741110,-51298,-82,-0.84375
29023183,1862205,163741110,-51298,-82,-0.84375
29024183,1862205,163741110,-51298,-79,-0.84375
29025183,1862205,163741110,-51298,-79,-0.84375
29026183,1862205,163741110,-51298,-87,-0.84375
29027183,1862205,163741110,-51298,-93,-0.84375
29028183,1862205,163741110,-51298,-73,-0.84375
29029183,1862205,163741110,-51298,-90,-0.84375
29031183,1862205,163741110,-51298,-54,-0.84375
29032183,1862205,163741110,-51298,-68,-0.84375
29033183,1862205,163741110,-51298,-56,-0.84375
29034183,1862205,163741110,-51298,-59,-0.84375
29035183,1862205,163741110,-51298,-54,-0.84375
29036183,1862205,163741110,-51298,-62,-0.84375
29037183,1862205,163741110,-51298,-59,-0.84375
29038183,1862205,163741110,-51298,-59,-0.84375
29039184,1862205,163741110,-51298,-59,-0.84375
29040183,1862205,163741110,-51298,-54,-0.84375
29041183,1862205,163741110,-51298,-73,-0.84375
29042183,1862205,163741110,-51298,-68,-0.84375
29043183,1862205,163741110,-51298,-65,-0.84375
29044183,1862205,163741110,-51298,-68,-0.84375
29045183,1862205,163741110,-51298,-65,-0.84375
29046183,1862205,163741110,-51298,-82,-0.84375
29047183,1862205,163741110,-51298,-68,-0.84375
29048183,1862205,163741110,-51298,-82,-0.84375
29049183,1862205,163741110,-51298,-73,-0.84375
29050183,1862205,163741110,-51298,-87,-0.84375
29051183,1862205,163741110,-51298,-65,-0.84375
29052183,1862205,163741110,-51298,-82,-0.84375
29053183,1862205,163741110,-51298,-73,-0.84375
29054183,1862205,163741110,-51298,-79,-0.84375
29055182,1862205,163741110,-51298,-76,-0.84375
29056183,1862205,163741110,-51298,-76,-0.84375
29057183,1862205,163741110,-51298,-85,-0.84375
29058183,1862205,163741110,-51298,-93,-0.84375
29059183,1862205,163741110,-51298,-82,-0.84375
29060183,1862205,163741110,-51298,-76,-0.84375
29061183,1862205,163741110,-51298,-87,-0.84375
29062183,1862205,163741110,-51298,-73,-0.84375
29063183,1862205,163741110,-51298,-82,-0.84375
29064183,1862205,163741110,-51298,-73,-0.84375
29065183,1862205,163741110,-51298,-71,-0.84375
29066183,1862205,163741110,-51298,-79,-0.84375
29067183,1862205,163741110,-51298,-62,-0.84375
29068183,1862205,163741110,-51298,-73,-0.84375
29069183,1862205,163741110,-51298,-82,-0.84375
29070183,1862205,163741110,-51298,-65,-0.84375
29071183,1862205,163741110,-51298,-65,-0.84375
29072183,1862205,163741110,-51298,-65,-0.84375
29073183,1862205,163741110,-51298,-62,-0.84375
29074183,1862205,163741110,-51298,-51,-0.84375
29075183,1862205,163741110,-51298,-62,-0.84375
29076184,1862205,163741110,-51298,-48,-0.84375
29077183,1862205,163741110,-51298,-68,-0.84375
29078183,1862205,163741110,-51298,-62,-0.84375
29079183,1862205,163741110,-51298,-54,-0.84375
29080183,1862205,163741110,-51298,-56,-0.84375
29081183,1862205,163741110,-51298,-56,-0.84375
29082184,1861830,163741110,-51298,-68,-0.84375
29083183,1861830,163741110,-51298,-62,-0.84375
29084183,1861830,163741110,-51298,-68,-0.84375
29085183,1861830,163741110,-51298,-71,-0.84375
29086183,1861830,163741110,-51298,-87,-0.84375
29087183,1861830,163741110,-51298,-73,-0.84375
29088183,1861830,163741110,-51298,-90,-0.84375
29089183,1861830,163704072,-51298,-87,-0.84375
29090183,1861830,163704072,-51298,-85,-0.84375
29091183,1861830,163704072,-51298,-68,-0.84375
29092183,1861830,163704072,-51298,-76,-0.84375
29093183,1861830,163704072,-51298,-68,-0.84375
29094183,1861830,163704072,-51298,-65,-0.84375
29095183,1861830,163704072,-51298,-65,-0.84375
29096183,1861830,163704072,-51298,-59,-0.84375
29097183,1861830,163704072,-54931,-59,-0.84375
29098183,1861830,163704072,-54931,-45,-0.84375
29099183,1861830,163704072,-54931,-54,-0.84375
29100183,1861830,163704072,-54931,-48,-0.84375
29101183,1861830,163704072,-54931,-45,-0.84375
29102183,1861830,163704072,-54931,-48,-0.84375
29103183,1861830,163704072,-54931,-62,-0.84375
29104183,1861830,163704072,-54931,-59,-0.84375
29105183,1861830,163704072,-54931,-48,-0.84375
29106183,1861830,163704072,-54931,-56,-0.84375
29107183,1861830,163704072,-54931,-48,-0.84375
29108183,1861830,163704072,-54931,-62,-0.84375
29109183,1861830,163704072,-54931,-56,-0.84375
29110183,1861830,163704072,-54931,-59,-0.84375
29111183,1861830,163704072,-54931,-68,-0.84375
29112183,1861830,163704072,-54931,-56,-0.84375
29113183,1861830,163704072,-54931,-56,-0.84375
29114183,1861830,163704072,-54931,-71,-0.84375
29115183,1861830,163704072,-54931,-59,-0.84375
29116183,1861830,163704072,-54931,-59,-0.84375
29117183,1861830,163704072,-54931,-65,-0.84375
29118183,1861830,163704072,-54931,-59,-0.84375
29119183,1861830,163704072,-54931,-73,-0.84375
29120183,1861830,163704072,-54931,-73,-0.84375
29122182,1861830,163704072,-54931,-76,-0.84375
29123183,1861830,163704072,-54931,-71,-0.84375
29124183,1861830,163704072,-54931,-59,-0.84375
29125183,1861830,163704072,-54931,-71,-0.84375
29126183,1861830,163704072,-54931,-62,-0.84375
29127183,1861830,163704072,-54931,-56,-0.84375
29128183,1861830,163704072,-54931,-62,-0.84375
29128933,1861830,163704072,-54931,-59,-0.84375
29129933,1861830,163704072,-54931,-62,-0.84375
29131183,1861830,163704072,-54931,-65,-0.84375
29132183,1861830,163704072,-54931,-59,-0.84375
29133183,1861830,163704072,-54931,-65,-0.84375
29134183,1861830,163704072,-54931,-59,-0.84375
29135183,1861830,163704072,-54931,-59,-0.84375
29136183,1861830,163704072,-54931,-51,-0.84375
29137183,1861830,163704072,-54931,-59,-0.84375
29138183,1861830,163704072,-54931,-56,-0.84375
29139183,1861830,163704072,-54931,-62,-0.84375
29140183,1861830,163704072,-54931,-68,-0.84375
29141183,1861830,163704072,-54931,-62,-0.84375
29142183,1861830,163704072,-54931,-62,-0.84375
29143183,1861830,163704072,-54931,-68,-0.84375
29144183,1861830,163704072,-54931,-51,-0.84375
29145183,1861830,163704072,-54931,-68,-0.84375
29146183,1861830,163704072,-54931,-59,-0.84375
29147433,1861830,163704072,-54931,-65,-0.84375
29149182,1861830,163704072,-54931,-71,-0.84375
29150183,1861830,163704072,-54931,-68,-0.84375
29151183,1861830,163704072,-54931,-71,-0.84375
29152183,1861830,163704072,-54931,-79,-0.84375
29153183,1861830,163704072,-54931,-87,-0.84375
29154183,1861830,163704072,-54931,-87,-0.84375
29155183,1861830,163704072,-54931,-79,-0.84375
29156183,1861830,163704072,-54931,-71,-0.84375
29157183,1861830,163704072,-54931,-71,-0.84375
29158183,1861830,163704072,-54931,-73,-0.84375
29159183,1861830,163704072,-54931,-71,-0.84375
29160183,1861830,163704072,-54931,-65,-0.84375
29161183,1861830,163704072,-54931,-65,-0.84375
29162183,1861830,163704072,-54931,-62,-0.84375
29163183,1861830,163704072,-54931,-68,-0.84375
29164183,1861830,163704072,-54931,-45,-0.84375
29165183,1861830,163704072,-54931,-39,-0.84375
29166183,1861830,163704072,-54931,-39,-0.84375
29167183,1861446,163704072,-54931,-51,-0.84375
29168183,1861446,163704072,-54931,-45,-0.84375
29169183,1861446,163704072,-54931,-51,-0.84375
29170183,1861446,163704072,-54931,-54,-0.84375
29171183,1861446,163704072,-54931,-48,-0.84375
29172183,1861446,163704072,-54931,-56,-0.84375
29173183,1861446,163704072,-54931,-59,-0.84375
29174183,1861446,163666690,-54931,-51,-0.84375
29175182,1861446,163666690,-54931,-65,-0.84375
29176183,1861446,163666690,-54931,-56,-0.84375
29177183,1861446,163666690,-54931,-56,-0.84375
29178183,1861446,163666690,-54931,-71,-0.84375
29179183,1861446,163666690,-54931,-51,-0.84375
29180183,1861446,163666690,-48100,-54,-0.84375
29181183,1861446,163666690,-48100,-62,-0.84375
29182183,1861446,163666690,-48100,-56,-0.84375
29183183,1861446,163666690,-48100,-59,-0.84375
29184183,1861446,163666690,-48100,-51,-0.84375
29185183,1861446,163666690,-48100,-54,-0.84375
29186183,1861446,163666690,-48100,-65,-0.84375
29187183,1861446,163666690,-48100,-68,-0.84375
29188183,1861446,163666690,-48100,-76,-0.84375
29189183,1861446,163666690,-48100,-76,-0.84375
29190183,1861446,163666690,-48100,-62,-0.84375
29191183,1861446,163666690,-48100,-68,-0.84375
29192183,1861446,163666690,-48100,-59,-0.84375
29193183,1861446,163666690,-48100,-45,-0.84375
29194183,1861446,163666690,-48100,-51,-0.84375
29195183,1861446,163666690,-48100,-59,-0.84375
29196184,1861446,163666690,-48100,-56,-0.84375
29197183,1861446,163666690,-48100,-68,-0.84375
29198183,1861446,163666690,-48100,-56,-0.84375
29199183,1861446,163666690,-48100,-71,-0.84375
29200183,1861446,163666690,-48100,-54,-0.84375
29201183,1861446,163666690,-48100,-59,-0.84375
29202183,1861446,163666690,-48100,-59,-0.84375
29203183,1861446,163666690,-48100,-65,-0.84375
29204183,1861446,163666690,-48100,-65,-0.84375
29205183,1861446,163666690,-48100,-62,-0.84375
29206184,1861446,163666690,-48100,-68,-0.84375
29207183,1861446,163666690,-48100,-51,-0.84375
29208183,1861446,163666690,-48100,-68,-0.84375
29209183,1861446,163666690,-48100,-71,-0.84375
29210184,1861446,163666690,-48100,-71,-0.84375
29211182,1861446,163666690,-48100,-76,-0.84375
29212183,1861446,163666690,-48100,-59,-0.84375
29213183,1861446,163666690,-48100,-71,-0.84375
29214183,1861446,163666690,-48100,-82,-0.84375
29215183,1861446,163666690,-48100,-54,-0.84375
29216183,1861446,163666690,-48100,-82,-0.84375
29217183,1861446,163666690,-48100,-68,-0.84375
29218183,1861446,163666690,-48100,-62,-0.84375
29219183,1861446,163666690,-48100,-76,-0.84375
29220183,1861446,163666690,-48100,-76,-0.84375
29221183,1861446,163666690,-48100,-65,-0.84375
29222183,1861446,163666690,-48100,-82,-0.84375
29223183,1861446,163666690,-48100,-65,-0.84375
29224183,1861446,163666690,-48100,-79,-0.84375
29225183,1861446,163666690,-48100,-62,-0.84375
